loadoutName,CLASS_CLASS1,CLASS_CLASS2,CLASS_CLASS3,CLASS_CLASS4,CLASS_CLASS5,CLASS_CLASS6
loadoutPrimary,iw6_kriss,iw6_sc2010,iw6_pp19,iw6_kriss,iw6_kriss,iw6_kriss
loadoutPrimaryAttachment,none,none,none,none,none,none
loadoutPrimaryAttachment2,none,none,none,none,none,none
loadoutPrimaryAttachment3,none,none,none,none,none,none
loadoutSecondary,iw6_mp443,iw6_mp443,iw6_mp443,iw6_mp443,iw6_mp443,iw6_mp443
loadoutSecondaryAttachment,none,none,none,none,none,none
loadoutSecondaryAttachment2,none,none,none,none,none,none
loadoutSecondaryAttachment3,none,none,none,none,none,none
loadoutStreak0,uplink,uplink,uplink,uplink,uplink,uplink
loadoutStreak1,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog,guard_dog
loadoutStreak2,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac,airdrop_juggernaut_maniac
loadoutStreak3,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support,uplink_support
loadoutStreak4,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo,deployable_ammo
loadoutStreak5,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping,uav_3dping
loadoutPerk1,24,24,24,24,24,24
loadoutPerk2,32,32,32,32,32,32
loadoutPerk3,42,42,42,42,42,42
loadoutPerk4,52,52,52,52,52,52
loadoutPerk5,,,,,,
loadoutPerk6,,,,,,
loadoutPerk7,,,,,,
loadoutPerk8,,,,,,
